Comment,Designator,Footprint,LCSC,Quantity
100nF,"C1,C10,C11,C12,C13,C14,C15,C19,C20,C5,C6,C9",C_0402_1005Metric,C1525,12
10k,"R10,R11,R3,R6,R7",R_0402_1005Metric,C25744,5
10uF,"C17,C18,C7",C_0402_1005Metric,C15525,3
12MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002,1
1k,"R1,R2",R_0402_1005Metric,C11702,2
1uF,"C16,C4,C8",C_0402_1005Metric,C52923,3
220,"R8,R9",R_0402_1005Metric,C25091,2
22pF,"C2,C3",C_0402_1005Metric,C1555,2
27R,"R4,R5",R_0402_1005Metric,C25100,2
AP2112K-3.3,U2,SOT-23-5,C3021085,1
Conn_01x06,"J3,J4",Hirose_FH12-6S-0.5SH_1x06-1MP_P0.50mm_Horizontal,C202118,2
D_Small,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D25,D26,D27,D28,D29,D3,D30,D31,D32,D33,D34,D35,D36,D37,D38,D39,D4,D40,D41,D42,D43,D44,D45,D5,D6,D7,D8,D9",D_SOD-123,C81598,45
ESP32-C3-MINI-1,U4,ESP32-C3-MINI-1,C2838502,1
Molex - 1.00mm 4 Pin,"J1,J2",Molex_Pico-EZmate_78171-0004_1x04-1MP_P1.20mm_Vertical,C588524,2
RP2040,U3,RP2040-QFN-56,C2040,1
SW_Push,"SW_ESP_BOOTSEL1,SW_ESP_RESET1,SW_RP_BOOTSEL1,SW_RP_RESET1",SW_SPST_TS-1088-xR020,C720477,4
W25Q128JVS,U1,SOIC-8_5.3x5.3mm_P1.27mm,C97521,1
